Dire,지독한
Cinder,재투성이
Iron,철의
Steel,강철
Agony,괴로운
Dark,어두운
Cruel,잔혹한
Death,죽음의
Chaos,카오스
Blood,피의
Terror,공포의
Pain,고통의
Savage,야만적인
Grim,으스스한
Whispering,속삭이는
Foul,지저분한
Enthralling,매혹하는
Hollow,"텅 빈"
Void,공허
Voidtouched,"공허에 닿은"
Interdimensional,초차원적
Celestial,천공
Cosmic,우주의
Planar,행성의
Otherworldly,이계의
Transcendental,초월한
Mythic,신화의
Malevolent,심술궂은
Pernicious,유해한
Ominous,흉조의
Cryptic,난해한
Nebulous,모호한
Eerie,괴상한
Basalt,현무암
Pyroclastic,화쇄암의
Fiery,불타는
Blazing,맹렬한
Searing,이글거리는
Scorching,작열하는
Tectonic,지층의
Titanian,거신의
Abandoned,버려진
Ancestral,선대의
Ancient,고대의
Anguish,비통의
Arcane,비전의
Arid,메마른
Barren,불모의
Black,검은
Blasted,망가진
Bleak,음산한
Breeding,번식하는
Buried,매장된
Cabal,음모의
Cursed,저주받은
Cyclopean,키클로프의
Damned,지독한
Desecrated,훼손된
Desolate,황량한
Destiny,운명의
Dread,불안의
Dream,몽환의
Evil,악한
Fetid,"악취 나는"
Forbidden,금단의
Forgotten,잊혀진
Forsaken,버림받은
Fungus,곰팡이의
Ghastly,무시무시한
Ghost,혼의
Godless,"신을 저버린"
Graven,새겨진
Hate,증오의
Haunted,으스스한
Hidden,숨겨진
Horror,경악의
Insane,광기의
Lost,잃어버린
Morbid,"소름 끼치는"
Mystic,신비한
Nightmare,악몽의
Profane,부정한
Putrid,"구역질 나는"
Remote,외딴
Rotting,썩어가는
Rugged,너덜해진
Secluded,고립된
Spectre,망령의
Stained,얼룩진
Torture,고통스러운
Tranquil,고요한
Twisted,뒤틀린
Unholy,불경한
Vortex,소용돌이의
Warped,휘어진
Wraith,악령의
Ambush,매복
Anarchy,혼란
Apocalypse,종말의
Armageddon,아마겟돈의
Beast,야수의
Behemoth,거대한
Blight,역병
Borealis,북방의
Bramble,가시나무
Brimstone,유황
Brood,영충
Carrion,부패하는
Cataclysm,대재앙
Chimeric,키메라의
Corpse,시신의
Corruption,타락한
Damnation,지옥
Domination,지배
Demon,악마
Doom,파멸
Dragon,용의
Dusk,황혼
Eagle,독수리의
Eclipse,월식의
Eldritch,섬뜩한
Empyrian,최고천의
Empyrean,천공인
Entropy,엔트로피
Eternity,영원의
Fate,운명의
Foe,적의
Gale,강풍의
Ghoul,구울의
Gloom,침울한
Glyph,"상형 문자의"
Golem,골렘
Havoc,혼란스러운
Honour,명예의
Hypnotic,최면의
Invasion,침략
Infinity,무한의
Kraken,크라켄의
Loath,혐오스러운
Maelström,마엘스트롬
Mind,마음의
Miracle,기적의
Nemesis,천벌
Nova,초신성의
Oblivion,망각
Onslaught,맹공
Pandemonium,"혼란 유발의"
Paradox,역설의
Phoenix,불사조
Plague,역병
Rage,격노
Rapture,휴거
Rift,균열
Rune,"룬 문자"
Skull,해골
Sol,솔
Sorrow,슬픔의
Soul,영혼
Spirit,혼백
Storm,태풍
Tempest,폭풍
Torment,고통
Vengeance,복수의
Victory,승리자의
Viper,독사의
Woe,비애의
Wrath,진노의
Wet,축축한
Zenith,북극성의
Doomed,몰락한
Luminous,빛나는
Vivid,선명한
Fulgent,찬란한
Ill-fated,불운의
Arduous,험난한
Legendary,전설적인
Mythical,신화적인
Lonely,외로운
Far,머나먼
Noxious,유독성
Open,트인
Intense,격렬한
Icy,"얼음 같은"
Stormy,"태풍 치는"
Withering,고사시키는
Brutal,잔인한
Enclosed,닫힌
Tempestuous,"폭풍 치는"
Subterranean,지하
Squalid,누추한
Plagued,"역병 걸린"
Revealed,드러난
Squandered,허비된
Raging,분노하는
Deserted,"인적 없는"
Derelict,방치된
Shabby,허름한
Wretched,가련한
Festering,짓무르는
Timeworn,케케묵은
Uneasy,꺼림칙한
Skittering,달리는
Mobilised,동원된
Sacred,성스러운
Forlorn,고독한
Ransacked,노획당한
Plundered,약탈당한
Tempting,혹하는
Exposed,노출된
Gnarled,"옹이 진"
Befuddling,정신없는
Echoing,메아리치는
Plunging,낙하하는
Glimmering,깜박이는
Menacing,위험한
Concealed,감춰진
Ravaged,유린당한
Ageless,불후한
Evergreen,상록의
Filthy,더러운
Destitute,궁핍한
Unstable,불안정한
Impregnable,철벽의
Eroding,침식하는
Winding,구불구불한
Barricaded,"방벽 두른"
Entrenched,"해자 두른"
Torrid,"펄펄 끓는"
Sweltering,무더운
Verdant,신록의
Untouched,"손길이 닿지 않은"
Primordial,태고의
Lush,우거진
Tidal,해일
Marshy,습지
Brackish,염분
Stagnant,고인
Murky,혼탁한
Polluted,오염된
Silted,퇴적
Vast,광대한
Wild,야생
Untamed,야성
Sprawling,구불구불한
Harsh,혹독한
Dreary,음울한
Forbidding,금지하는
Desiccated,"바싹 마른"
Withered,말라버린
Shriveled,쪼그라든
Brittle,말라붙은
Gaunt,수척한
Taut,팽팽한
Leathery,"가죽 같은"
Necrotic,괴사
Rancid,"악취 나는"
Mottled,얼룩덜룩한
Sagging,늘어진
Flayed,박피된
Molten,녹아내린
Flameborn,불길붙이
Sole,유일한
Desperate,필사적인
Charred,"까맣게 탄"
Ashen,잿빛
Blistered,부푼
Dying,죽어가는
Static,정전기의
Neural,신경의
Brain,뇌
Memory,기억
Terminal,말단
Spinal,척추
Excited,들뜬
Tendril,덩굴
Forked,갈라진
Peaceful,평화로운
Calm,차분한
Numb,무감각한
Silent,"소리 없는"
Empty,빈
Stark,삭막한
